GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TaskFusion,taskfusion.domain,Project,24,224,5,25,11,58,9,28,4,18
TaskFusion,taskfusion.domain,ProjectActivity,0,18,0,0,0,6,0,3,0,3
TaskFusion,taskfusion.domain,RegularActivity,0,8,0,0,0,2,0,1,0,1
TaskFusion,taskfusion.domain,Employee,64,180,9,15,15,40,11,17,5,11
TaskFusion,taskfusion.domain,Report,3,0,0,0,1,0,1,0,1,0
TaskFusion,taskfusion.domain,Activity,12,23,0,0,6,8,3,4,3,4
TaskFusion,taskfusion.helpers,PrintHelper,3,46,0,4,1,8,1,4,1,2
TaskFusion,taskfusion.helpers,DateHelper,3,6,0,0,1,1,1,1,1,1
TaskFusion,taskfusion.persistency,Seeder,3,101,0,2,2,27,0,5,0,4
TaskFusion,taskfusion.persistency,EmployeeRepository,0,47,0,2,0,15,0,7,0,6
TaskFusion,taskfusion.persistency,ProjectRepository,35,71,6,6,8,20,4,9,1,6
TaskFusion,taskfusion.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
TaskFusion,taskfusion.exceptions,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
TaskFusion,taskfusion.exceptions,OperationNotAllowedException,0,4,0,0,0,2,0,1,0,1
TaskFusion,taskfusion.exceptions,InvalidPropertyException,0,4,0,0,0,2,0,1,0,1
TaskFusion,taskfusion.exceptions,ExhaustedOptionsException,4,0,0,0,2,0,1,0,1,0
TaskFusion,taskfusion.app,TaskFusionDriver,50,0,0,0,14,0,2,0,2,0
TaskFusion,taskfusion.app,DateServer,0,22,0,0,0,5,0,2,0,2
TaskFusion,taskfusion.app,TaskFusion,5,219,1,23,1,54,1,27,0,16
